datum,titel,ressort,labeltop,shorttext,autor,link
2025-05-02 22:33:00,"++ Von Storch nennt Vorgehen""rechtsstaatsunwürdig""++",newsticker,"AfD ""gesichert rechtsextremistisch""","AfD-Vize-Fraktionschefin von Storch hat das Vorgehen des Verfassungsschutzes gegen ihre Partei in dentagesthemenals ""rechtsstaatsunwürdig"" bezeichnet. SPD-Chef Klingbeil sieht in der AfD einen ""Angriff auf Deutschland"".mehr",tagesthemen,https://www.tagesschau.de/newsticker/liveblog-afd-verfassungsschutz-100.html
2025-05-02 22:19:00,Wall Street bleibt im Aufwind,wirtschaft,Erneute Gewinne,Ein robuster Arbeitsmarkt sowie Hoffnungen im Zollstreit mit China haben der Wall Street Rückenwind verschafft. Zuvor war schon der DAX über die Marke von 23.000 Punkten gestiegen.mehr,Kein Autor,https://www.tagesschau.de/wirtschaft/finanzen/marktberichte/marktbericht-boerse-dax-trump-zoelle-china-apple-musk-tesla-gold-100.html
2025-05-02 21:59:00,++ Scholz erwartet weitere US-Hilfen für Kiew ++,newsticker,Krieg gegen die Ukraine,"Der scheidende Kanzler Scholz hat sich optimistisch gezeigt, dass die USA die Ukraine weiter militärisch unterstützen werden. In Saporischschja erhöhte sich die Zahl der Verletzten nach einem Drohnenangriff auf 29.mehr",Kein Autor,https://www.tagesschau.de/newsticker/liveblog-ukraine-freitag-520.html
2025-05-02 19:52:00,"Warum die AfD ""gesichertrechtsextremistisch""ist",inland,Einstufung des Verfassungsschutzes,Seit ihrer Gründung ist die AfD nach Einschätzung des Verfassungsschutzes immer weiter nach rechts gerückt. Inzwischen sei klar: Die Partei ist extremistisch. Wie kommt der Verfassungsschutz zu der Einschätzung?Von K. Kumpfmüller und B. Grasnick.mehr,Von K. Kumpfmüller und B. Grasnick.,https://www.tagesschau.de/inland/innenpolitik/afd-verfassungsschutz-rechtsextremismus-100.html
2025-05-02 19:05:00,"Helfer beklagen ""Kriegswaffe Hunger""",ausland,Kritik an Lage im Gazastreifen,"Gerade für Kinder im Gazastreifen sei ""die Lebensader fast versiegt"", mahnt UNICEF. Hunger, Durst und Krankheiten seien allgegenwärtig. Mehrere Organisationen fordern eindringlich Hilfe. Israel sei in der Pflicht, ignoriere dies aber.mehr",Kein Autor,https://www.tagesschau.de/ausland/asien/gazastreifen-hunger-krieg-unterversorgung-100.html
2025-05-02 18:47:00,Rufe nach AfD-Verbot werden lauter,inland,Gutachten des Verfassungsschutzes,Nach der Neueinstufung der AfD durch den Verfassungsschutz werden die Rufe nach einem Verbot der Partei lauter. Doch es gibt auch warnende Stimmen. Die AfD sieht sich kriminalisiert und wehrt sich juristisch.mehr,Kein Autor,https://www.tagesschau.de/inland/innenpolitik/reaktion-einstufung-afd-rechtsextrem-102.html
2025-05-02 18:11:00,Ein AfD-Verbot ist das Gebot der Stunde,kommentar,Gutachten des Verfassungsschutzes,"Das Gutachten des Verfassungsschutzes zur AfD hat auch juristisches Gewicht, meintMax Bauer. Die verfassungsfeindlichen Ziele der Partei seien überdeutlich: Nur ein Verbot könne die Demokratie und ihre Institutionen schützen.mehr",Max Bauer,https://www.tagesschau.de/kommentar/afd-einstufung-rechtsextrem-100.html
2025-05-02 17:11:00,"Syrien spricht von ""gefährlicher Eskalation""",ausland,Israelische Luftangriffe,"Syriens Übergangsregierung hat die israelischen Luftangriffe auf Ziele nahe dem Präsidentenpalast als ""gefährliche Eskalation"" bezeichnet. Israel hatte den Angriff mit dem Schutz der Drusen in Syrien begründet.mehr",Kein Autor,https://www.tagesschau.de/ausland/asien/syrien-drusen-israel-102.html
2025-05-02 17:02:00,Auf dem Weg zu einem universellen Mittel gegen Schlangenbisse?,wissen,Medizinforschung,Ein Hobbyforscher verabreicht sich stetig Toxine von Giftschlangen - und lässt sich Hunderte Male beißen. Schließlich ist er gegen viele Gifte immun. Forschende haben sich das zunutze gemacht.mehr,Kein Autor,https://www.tagesschau.de/wissen/gesundheit/schlangengift-gegengift-100.html
2025-05-02 16:54:00,Zoll-Chaos verunsichert den Kunstmarkt,kultur,Kultur in der Krise,"Die USA gehören zu den wichtigsten Märkten für Europas Kunsthandel. Trumps Zollpolitik schürt jedoch Verunsicherung. Erste Probleme gibt es schon, einige Galeristen meiden die USA.Von Luis Babst und Nathalie Daiber.mehr",Von Luis Babst und Nathalie Daiber.,https://www.tagesschau.de/kultur/us-zoelle-auswirkungen-kunstmarkt-100.html
