datum,titel,ressort,labeltop,shorttext,autor,link
2025-05-04 04:27:00,Klarer Wahlsieg fürDauer-Regierungspartei,ausland,Singapur,"Die konservative Regierungspartei PAP hat die Wahl in Singapur wie erwartet klar gewonnen. Die wichtigste Oppositionspartei WP verpasst erhoffte Zugewinne, kann aber ihr Ergebnis von der letzten Wahl halten.mehr",Kein Autor,https://www.tagesschau.de/ausland/asien/wahl-singapur-102.html
2025-05-04 03:06:00,Wer wird Präsident im zweiten Anlauf?,ausland,Wiederholungswahl in Rumänien,Die Präsidentenwahl in Rumänien wurde im vergangenen Jahr durch das Verfassungsgericht annulliert. Nun wird die Wahl wiederholt. Ein Rechtspopulist könnte in die Stichwahl einziehen - doch wer wird sein Gegner?Von Oliver Soos.mehr,Von Oliver Soos.,https://www.tagesschau.de/ausland/europa/praesidentschaftswahl-rumaenien-100.html
2025-05-04 01:12:00,++ Seedrohne schießt erstmals russischen Jet ab  ++,newsticker,Krieg gegen die Ukraine,Die Ukraine hat nach eigenen Angaben mithilfe einer Seedrohne ein russisches Kampfflugzeug abgeschossen. Bei einem russischen Drohnenangriff auf die Stadt Charkiw sind fast 50 Menschen verletzt worden.mehr,Kein Autor,https://www.tagesschau.de/newsticker/liveblog-ukraine-samstag-518.html
2025-05-05 23:56:00,Israel bombardiert Huthi-Ziele im Jemen,ausland,Nach Angriff auf Flughafen,Israel hat seine Drohung wahr gemacht und Luftangriffe auf die Huthi-Miliz im Jemen geflogen. Demnach wurden der Hafen von Hodeida und ein Betonwerk getroffen. Am Wochenende hatte die Terrormiliz Israel mit Raketen beschossen.mehr,Kein Autor,https://www.tagesschau.de/ausland/asien/israel-luftangriff-jemen-100.html
2025-05-05 22:27:00,"++ Scholz spricht von ""demokratischer Normalität"" ++",newsticker,Regierungswechsel,"Olaf Scholz würdigt den bevorstehenden Regierungswechsel als ""Ausdruck demokratischer Normalität"". Zur Stunde ehrt die Bundeswehr den scheidenden Kanzler mit einem Großen Zapfenstreich.mehr",Kein Autor,https://www.tagesschau.de/newsticker/liveblog-regierungsbildung-bundesregierung-bundestag-bundeskanzler-union-cdu-csu-spd-montag-100.html
2025-05-05 22:23:00,"""Deutschland ist nur stark, wenn wir es zusammenhalten""",inland,Großer Zapfenstreich für Scholz,"Kanzler Scholz hat sich mit einem Appell beim Großen Zapfenstreich verabschiedet. Die Demokratie brauche ""ein Verständnis von Gemeinsamkeit"", erklärte er. Deutschland als Regierungschef zu dienen, sei die Ehre seines Lebens gewesen.mehr",Kein Autor,https://www.tagesschau.de/inland/innenpolitik/scholz-grosser-zapfenstreich-100.html
2025-05-05 22:20:00,Wieder mehr Unsicherheit an der Wall Street,wirtschaft,Neue Zollrunde,US-Präsident Trump hat die Wall Street mit neuen Zöllen erneut verunsichert. Dieses Mal waren Medienaktien die großen Verlierer. Der DAX zeigte derweil weiter keine Ermüdungserscheinungen.mehr,Kein Autor,https://www.tagesschau.de/wirtschaft/finanzen/marktberichte/marktbericht-boerse-dax-buffett-trump-opec-oelpreis-gold-100.html
2025-05-05 21:00:00,Kann Spahn auch loyal?,inland,Neuer Unionsfraktionschef,Betont zurückhaltend präsentiert sich Jens Spahn nach seiner Wahl als Unionsfraktionsvorsitzender. Als loyaler Brückenbauer. Doch Fraktionschef könnte für den ambitionierten CDU-Politiker nur eine Zwischenetappe sein.Von Tina Handel.mehr,Von Tina Handel.,https://www.tagesschau.de/inland/innenpolitik/spahn-unionsfraktionschef-loyalitaet-100.html
2025-05-05 20:55:00,Spitzen von Schwarz-Rot gegenAfD-Ausschussvorsitz,inland,Nach Rechtsextremismus-Einstufung,"Union und SPD sind sich einig: Wegen der Hochstufung der AfD als ""gesichert rechtsextremistisch"" sollen deren Abgeordnete keinen  Ausschussvorsitz übernehmen. Die AfD wiederum verklagt den Verfassungsschutz.mehr",Kein Autor,https://www.tagesschau.de/inland/innenpolitik/afd-verbotsverfahren-verfassungsschutz-union-spd-gruene-linke-104.html
2025-05-05 19:46:00,Netanjahu will dauerhaft Militär im Gazastreifen,ausland,Pläne der Regierung,"Israel will eroberte Gebiete des Gazastreifens dauerhaft kontrollieren - mit israelischen Soldaten, wie Premier Netanjahu bestätigte. Unklar ist, was mit der palästinensischen Bevölkerung passieren soll.mehr",Kein Autor,https://www.tagesschau.de/ausland/asien/nahost-israel-gaza-armee-einnahme-100.html
2025-05-05 19:31:00,RumäniensMinisterpräsidentCiolacu tritt zurück,ausland,Nach Präsidentenwahl,Nach dem Aus seines Kandidaten in der ersten Runde der Präsidentenwahl tritt Rumäniens Regierungschef Ciolacu zurück. Seine bürgerlich-sozialdemokratische Koalition habe keine Legitimität mehr.mehr,Kein Autor,https://www.tagesschau.de/ausland/rumanien-ministerpraesident-ciolacu-ruecktritt-100.html
2025-05-05 18:57:00,"USA bieten Migranten Geld für""Selbstabschiebung""",ausland,Illegale Einwanderung,"US-Präsident Trump setzt seinen Kurs in der Migrationspolitik fort: Die USA wollen illegalen Einwanderern künftig 1.000 Dollar zahlen, wenn sie sich ""selbst abschieben"". Auch die Kosten für die Ausreise sollen übernommen werden.mehr",Kein Autor,https://www.tagesschau.de/ausland/usa-zahlt-migranten-geld-bei-ausreise-100.html
2025-05-05 18:13:00,Spahn ist neuerUnionsfraktionschef,inland,CDU/CSU,Einen Platz am künftigen Kabinettstisch hat er nicht. Dafür ist der frühere Gesundheitsminister Spahn nun zum neuen Chef der Unionsfraktion im Bundestag gewählt worden - mit sehr großer Mehrheit.mehr,Kein Autor,https://www.tagesschau.de/inland/innenpolitik/spahn-unionsfraktionschef-100.html
2025-05-05 17:00:00,Jugendliche mit psychischen Problemen anfälliger?,wissen,Social-Media-Konsum,Jugendliche mit psychischen Problemen fühlen sich von Social Media offenbar besonders angezogen. Laut einer neuen Studie verbringen sie mehr Zeit auf den Plattformen als gesunde und nutzen sie je nach Erkrankung auch anders.Von S. Delonge und S. v. Liebe.mehr,Von S. Delonge und S. v. Liebe.,https://www.tagesschau.de/wissen/gesundheit/jugendliche-soziale-medien-100.html
2025-05-05 16:13:00,"Wenn die OPEC streitet, freuen sich die Autofahrer",wirtschaft,Ölpreise nahe Vier-Jahres-Tief,"Inmitten eines andauernden Ölpreisverfalls steigert die OPEC+ ihre Produktion. In der Organisation rumort es, was sich auch an den Zapfsäulen bemerkbar macht.Von Detlev Landmesser.mehr",Von Detlev Landmesser,https://www.tagesschau.de/wirtschaft/energie/opec-streit-oelpreise-100.html
2025-05-05 16:10:00,Mutmaßliche IS-Anhängerin in München festgenommen,nachrichten,Nach Rückkehr aus Syrien,"Eine mutmaßliche Anhängerin der Terrorgruppe ""Islamischer Staat"" ist bei ihrer Rückkehr nach Deutschland am Münchner Flughafen festgenommen worden. Es handelt sich offenbar um die erste solche Rückholaktion nach einer längeren Pause.br",Kein Autor,"https://www.br.de/nachrichten/bayern/is-rueckkehrerin-aus-oberfranken-von-syrien-zurueck-in-bayern,UeT2WeF"
2025-05-05 16:00:00,AfD reicht Klage gegenVerfassungsschutzein,inland,Nach Rechtsextremismus-Einstufung,Die AfD wehrt sich gegen die Einstufung als gesichert rechtsextremistisch durch den Verfassungsschutz und hat Klage eingereicht. Derweil diskutieren die anderen Parteien über den richtigen Umgang mit der AfD.mehr,Kein Autor,https://www.tagesschau.de/inland/innenpolitik/afd-verbotsverfahren-verfassungsschutz-union-spd-gruene-linke-102.html
2025-05-05 15:38:00,Kabelklau sorgt für Bahnchaos in Spanien,ausland,Wenige Tage nach Stromausfall,Eine Woche nach dem massiven Stromausfall auf der iberischen Halbinsel gab es nun wieder Chaos in Spaniens Bahnverkehr. Diesmal war Kabeldiebstahl der Grund. Der Verkehrsminister sprach von schwerer Sabotage.mehr,Kein Autor,https://www.tagesschau.de/ausland/europa/spanien-bahnchaos-kabelklau-100.html
2025-05-05 15:03:00,PayPal ermöglicht Bezahlen an der Ladenkasse,wirtschaft,Konkurrenz für Apple Pay,In den kommenden Wochen will PayPal in Deutschland seine erste kontaktlose mobile Wallet starten. Damit weitet der US-Konzern sein Angebot auf das Bezahlen an der Ladenkasse aus.mehr,Kein Autor,https://www.tagesschau.de/wirtschaft/verbraucher/paypal-kontaktlos-bezahlen-ladenkasse-100.html
2025-05-05 15:02:00,Beharrlich bis zum Schluss,inland,Zapfenstreich für Scholz,Nach nur dreieinhalb Jahren verlässt Olaf Scholz das Kanzleramt - und wird heute mit einem Großen Zapfenstreich verabschiedet. Doch ganz verschwinden wird er nicht. Typisch Scholz halt.Von Ruth Kirchner.mehr,Von Ruth Kirchner.,https://www.tagesschau.de/inland/innenpolitik/zapfenstreich-scholz-100.html
2025-05-05 14:43:00,Die Macht der Zahlen,inland,Designierter Finanzminister Klingbeil,Lars Klingbeil will das Finanzministerium als neues Machtzentrum neben dem Kanzleramt aufbauen. Doch große Erfahrungen mit Finanzen fehlen ihm - hinzukommt eine äußerst schwierige Kassenlage.Von Nicole Kohnert.mehr,Von Nicole Kohnert.,https://www.tagesschau.de/inland/innenpolitik/finanzminister-lars-klingbeil-100.html
2025-05-05 14:03:00,Krankenkasse verzeichnet Anstieg bei Essstörungen,wissen,Insbesondere Mädchen betroffen,Der Trend zur Selbstoptimierung auf Social-Media-Plattformen führt offenbar zu deutlich mehr Fällen von Essstörungen - das geht aus Zahlen der KKH-Krankenkasse hervor. Vor allem Mädchen und junge Frauen seien betroffen.mehr,Kein Autor,https://www.tagesschau.de/wissen/gesundheit/zunahme-essstoerungen-100.html
2025-05-05 13:42:00,tagesschau vor 20 Jahren,inland,Zeitgeschichte,tagesschau vor 20 Jahren: Wie sah die Welt vor 20 Jahren aus? Alle 20-Uhr-Sendungen der tagesschau seit 1989 im Nachrichtenrückblick.mehr,Kein Autor,https://www.tagesschau.de/inland/tsvorzwanzigjahren-ts-142.html
2025-05-05 13:22:00,Parteispitzen unterzeichnenKoalitionsvertrag,inland,Schwarz-Rot ist besiegelt,"Die Spitzen von Union und SPD haben den Koalitionsvertrag mit dem Titel ""Verantwortung für Deutschland"" unterzeichnet. Ziel sei nun, das Land mit Reformen und Investitionen voranzubringen, sagte der designierte Kanzler Merz.mehr",Kein Autor,https://www.tagesschau.de/inland/koalitionsvertrag-unterzeichnet-100.html
2025-05-05 12:51:00,Zwei Drittel der Deutschen nutzen KI,wirtschaft,Bitkom-Umfrage,"Die Menschen in Deutschland nutzen immer häufiger und intensiver Anwendungen Künstlicher Intelligenz, zeigt eine Umfrage vom Digitalverband Bitkom. Gleichzeitig fürchten viele die Abhängigkeit von KI-Anbietern aus dem Ausland.mehr",Kein Autor,https://www.tagesschau.de/wirtschaft/verbraucher/ki-nutzung-deutschland-100.html
2025-05-05 12:46:00,Fünf Kandidaten für die Papst-Wahl,ausland,Vor dem Konklave,"Am Mittwoch beginnt im Vatikan das Konklave. Die Namen einiger Kandidaten werden immer wieder genannt, wenn es um die Nachfolge von Papst Franziskus geht. Um wen geht es?VonElisabeth Pongratz.mehr",Von,https://www.tagesschau.de/ausland/europa/vatikan-papstwahl-konklave-kandidaten-100.html
2025-05-05 12:46:00,Preisanstieg in der Türkei verlangsamt sich,wirtschaft,Inflationsrate sinkt weiter,In der Türkei lässt die Inflationsdynamik nach. Im April sank die Teuerungsrate zum elften Mal in Folge auf den tiefsten Stand seit rund dreieinhalb Jahren. Aber noch immer bleibt sie auf hohem Niveau.mehr,Kein Autor,https://www.tagesschau.de/wirtschaft/weltwirtschaft/tuerkei-inflation-verbraucherpreise-zinsen-lira-100.html
2025-05-05 11:16:00,Zehn Tote bei Bootsunglück in China,ausland,Chinesische Provinz Guizhou,Ein Ausflug im Süden Chinas endete für zehn Menschen tödlich. Bei einem plötzlich aufgetretenen Sturm waren vier Boote auf einem Zufluss des Jangtse gekentert. 70 weitere Passagiere wurden ins Krankenhaus eingeliefert.mehr,Kein Autor,https://www.tagesschau.de/ausland/asien/bootsunglueck-china-100.html
2025-05-05 11:11:00,"Weiblicher, jünger - und ohne Esken",inland,Die SPD im Kabinett,Die SPD schickt neue Gesichter in die künftige Bundesregierung - und versucht so den Generationenwechsel voranzutreiben. Was hinter den Personalien steckt und warum Parteichefin Esken fehlt.Von Moritz Rödle.mehr,Von Moritz Rödle.,https://www.tagesschau.de/inland/innenpolitik/kabinett-spd-minister-102.html
2025-05-05 10:56:00,In Bayern schlugen die meisten Blitze ein,wissen,Statistik für 2024,"Jeder vierte Blitz in Deutschland schlug 2024 in Bayern ein - und auch die Blitzhauptstadt befindet sich dort. Insgesamt ist die Zahl der Blitze gestiegen, bleibt im langfristigen Vergleich aber niedrig.mehr",Kein Autor,https://www.tagesschau.de/wissen/forschung/blitze-statistik-einschlaege-100.html
2025-05-05 10:53:00,Union sieht mögliches AfD-Verbot kritisch,inland,Nach Rechtsextremismus-Einstufung,"Nach der Verfassungsschutz-Einstufung der AfD als rechtsextrem wird wieder über ein mögliches Verbot der Partei diskutiert. Die Union ist skeptisch, Grüne und Linke machen Druck. Die AfD reichte eine Klage gegen ihre Hochstufung ein.mehr",Kein Autor,https://www.tagesschau.de/inland/innenpolitik/afd-verbotsverfahren-verfassungsschutz-union-spd-gruene-linke-100.html
2025-05-05 10:30:00,In Deutschland geht esvergleichsweisegerecht zu,wirtschaft,Länderindex des IW,"Im neuen Gerechtigkeitsindex des IW Köln landet Deutschland unter 34 Ländern im vorderen Mittelfeld. Am gerechtesten gehe es in Nordeuropa zu, so die Forscher.mehr",Kein Autor,https://www.tagesschau.de/wirtschaft/gerechtigkeit-ranking-iw-100.html
2025-05-05 09:43:00,Vodafone führt Warnsystem für Handykunden ein,wirtschaft,Betrugsanrufe,"Der Mobilfunkanbieter Vodafone hat ein Spam-Warnsystem eingeführt, mit dem Handynutzer vor Betrugsanrufen geschützt werden sollen. Auch andere Telefonanbieter arbeiten an Schutzmaßnahmen.mehr",Kein Autor,https://www.tagesschau.de/wirtschaft/verbraucher/vodafone-betrugsanrufe-smartphone-schutz-100.html
2025-05-05 09:38:00,Ein Drittel aller Geburten per Kaiserschnitt,inland,Rekordquote für 2023,2023 lag die Quote für Kaiserschnitte in deutschen Krankenhäuser so hoch wie noch nie. Über die vergangenen drei Jahrzehnte hat sich die Rate der sogenannten Schnittentbindungen sogar verdoppelt.mehr,Kein Autor,https://www.tagesschau.de/inland/gesellschaft/kaiserschnitte-rekordjahr-100.html
2025-05-05 08:50:00,"DHL-Nachrichten,AfDrechtsextremistisch,Falschparker",multimedia,15 Minuten,Ein internationales Phishing-Netzwerk greift mit gefälschten DHL-SMS Kreditkartendaten ab. Die AfD ist gesichert rechtsextremistisch. In Stuttgart sind Scan-Autos gegen Falschparker unterwegs. Das sind die Themen im Podcast15 Minuten.mehr,15 Minuten.,https://www.tagesschau.de/multimedia/podcast/15-minuten/audio-gefaelschte-dhl-sms--afd-gesichert-rechtsextrem-100.html
2025-05-05 08:39:00,"Prozess gegen Rapper Sean ""Diddy"" Combs beginnt",ausland,Anklage wegen sexuellen Missbrauchs,"Im vergangenen September wurde der Rapper Sean ""Diddy"" Combs wegen zahlreicher mutmaßlicher Sexualstraftaten festgenommen. Heute beginnt der Prozess gegen ihn. Ihm droht eine langjährige Haftstrafe.VonM. Ganslmeier.mehr",Von,https://www.tagesschau.de/ausland/amerika/diddy-combs-prozess-beginn-100.html
2025-05-05 08:35:00,Das sind die SPD-Minister im Kabinett,inland,Künftige Bundesregierung,"Die SPD nominiert sechs Frauen und drei Männer für ihre neun Positionen im künftigen Bundeskabinett. Darunter sind einige neue Gesichter, nur ein Minister behält seinen Posten. Die Kandidaten im Überblick.Von Moritz Rödle.mehr",Von Moritz Rödle.,https://www.tagesschau.de/inland/innenpolitik/kabinett-spd-minister-100.html
2025-05-05 07:13:00,"Albanien plant muslimischen ""Vatikan""",multimedia,11KM,"Überraschender Vorschlag aus Albanien: Die Bektaschi, eine muslimische Minderheit im Land, sollen einen eigenen Staat bekommen. 11 KM über die Idee und Kritik an solch einem ""islamischen Vatikan"" mitten in Tirana.mehr",Kein Autor,https://www.tagesschau.de/multimedia/podcast/11km/podcast-11km-2586.html
2025-05-05 07:05:00,Was hilft gegen die Gewalt mit Messern?,inland,Maßnahmen gegen Kriminalität,"Die Gewalt mit Messern nimmt zu, aber auch die Maßnahmen dagegen werden verschärft. Was bringen die neuen Waffengesetze und was braucht es noch im Kampf gegen Messerkriminalität?Von Maximilian Fallert.mehr",Von Maximilian Fallert.,https://www.tagesschau.de/inland/gesellschaft/messer-kriminalitaet-gewalt-100.html
2025-05-05 06:51:00,Rechtspopulist Simion gewinnt erste Runde,ausland,Präsidentenwahl in Rumänien,Der Rechtspopulist Simion hat in der ersten Runde der Präsidentenwahl in Rumänien rund 40 Prozent der abgegebenen Stimmen erhalten. In der Stichwahl tritt er nun gegen den parteilosen Politiker Dan an.mehr,Kein Autor,https://www.tagesschau.de/ausland/europa/rumaenien-praesidentschaftswahl-102.html
2025-05-05 06:34:00,Wer bei der SPD für einen Ministerposten gehandelt wird,inland,Neues Kabinett,"Kurz vor der Unterzeichnung des Koalitionsvertrages sind Namen möglicher SPD-Minister durchgesickert. Laut Medienberichten soll der scheidende Ostbeauftragte der Regierung, Schneider, Umweltminister werden. Auch weitere Namen kursieren.mehr",Kein Autor,https://www.tagesschau.de/inland/innenpolitik/spd-minister-134.html
2025-05-05 06:27:00,Was kann ein Topmanager in der Politik bewirken?,wirtschaft,Neuer Digitalminister Wildberger,"Er führte bislang einen Börsenkonzern, jetzt soll Karsten Wildberger als Digitalminister Wirtschaftskompetenz in die Regierung bringen. Welche Erwartungen mit der ungewöhnlichen Personalie verbunden sind.Von Bianca von der Au.mehr",Von Bianca von der Au,https://www.tagesschau.de/wirtschaft/digitales/kabinett-merz-unternehmer-politik-verwaltung-100.html
2025-05-05 06:14:00,Wie der Machtwechsel abläuft,inland,Schwarz-rote Koalition,Vom Großen Zapfenstreich bis zur Kanzlerwahl: In dieser Woche steht der Regierungswechsel an. Dann ist die Scholz-Regierung Geschichte und Schwarz-Rot übernimmt. Die Termine im Überblick.mehr,Kein Autor,https://www.tagesschau.de/inland/innenpolitik/regierungswechsel-schwarz-rot-100.html
2025-05-05 06:08:00,Jede Honigbiene sticht anders,wissen,Verhaltensbiologie,"Die Persönlichkeit der Bienen prägt ihr Stechverhalten. Während die einen noch zögern, stechen die anderen bereits zu. Das haben Forschende der Uni Konstanz herausgefunden.Von A. Braun.mehr",Von A. Braun.,https://www.tagesschau.de/wissen/forschung/bienen-stechtest-100.html
2025-05-05 04:36:00,Israel will Angriffe im Gazastreifen ausweiten,ausland,Beschluss des Sicherheitskabinetts,"Israel will den Druck auf die Hamas erhöhen. Laut Medienberichten hat das Sicherheitskabinett einstimmig beschlossen, dass die Offensive im Gazastreifen verschärft wird.mehr",Kein Autor,https://www.tagesschau.de/ausland/asien/israel-angriffe-gaza-104.html
2025-05-05 03:36:00,Trump will Alcatraz wieder eröffnen,ausland,Ehemaliges Hochsicherheitsgefängnis,Das ehemalige Hochsicherheitsgefängnis auf der Insel Alcatraz galt als unentrinnbarer Ort. 62 Jahre nach der Schließung will US-Präsident Trump es wieder eröffnen - und erweitern lassen.mehr,Kein Autor,https://www.tagesschau.de/ausland/amerika/alcatraz-102.html
2025-05-05 03:16:00,ZweifelhafteSchutzversprechenaus Damaskus,ausland,Nach Angriffen auf Drusen,Die syrische Übergangsregierung verspricht den von bewaffneten Gruppen angegriffenen Drusen mehr Sicherheit. Doch an den Schutzversprechen gibt es Zweifel. Ganze Familien fliehen.Von M. Behrendt.mehr,Von M. Behrendt.,https://www.tagesschau.de/ausland/asien/syrien-drusen-102.html
2025-05-06 23:58:00,++ Scholz übergibt Amtsgeschäfte an Merz ++,newsticker,Kanzlerwahl,Der neu gewählte Regierungschef Merz hat im Kanzleramt die Amtsgeschäfte von seinem Vorgänger Scholz übernommen. Mit mehrstündiger Verspätung will am späten Abend das schwarz-rote Kabinett zum ersten Mal zusammenkommen.mehr,Kein Autor,https://www.tagesschau.de/newsticker/liveblog-regierungsbildung-bundesregierung-bundestag-bundeskanzler-union-cdu-csu-spd-montag-102.html
2025-05-06 21:53:00,"""Es ist ein ehrlicher Tag gewesen""",inland,Kanzler Merz im ARD-Brennpunkt,"Mindestens 18 Abgeordnete der Koalitionsfraktionen verwehrten Merz im ersten Anlauf ihr Ja zur Kanzlerschaft. Wer es war und warum, dem wollen weder er selbst noch sein Vize Klingbeil nachgehen. Vielmehr wolle man sich nun an die Arbeit machen.mehr",Kein Autor,https://www.tagesschau.de/inland/innenpolitik/merz-klingbeil-brennpunkt-kanzlerwahl-100.html
2025-05-06 21:16:00,Oman verkündet Waffenruhe zwischen USA und Huthi,ausland,Angriffe im Roten Meer,"Die Angriffe der Huthi auf US-Handelsschiffe im Roten Meer sollen offenbar ein Ende haben: Wie der Oman mitteilte, hat sich die Miliz mit den USA auf eine Feuerpause verständigt. US-Präsident Trump sprach von einer ""Kapitulation"" der Huthi.mehr",Kein Autor,https://www.tagesschau.de/ausland/asien/einigung-waffenruhe-usa-huthi-100.html
2025-05-06 20:49:00,Das ist das neue Kabinett,inland,Schwarz-rote Koalition,Ein halbes Jahr nach dem Bruch der Ampelkoalition hat Deutschland wieder eine voll handlungsfähige Regierung - mit Mehrheit im Bundestag. Bei den Ministerposten gab es so manche Überraschung. Ein Überblick in Kurzporträts.mehr,Kein Autor,https://www.tagesschau.de/inland/innenpolitik/kabinett-cdu-csu-spd-100.html
2025-05-06 20:49:00,Die Nachrichten auf tagesschau24,multimedia,ARD-Programm,"Aktuelle Meldungen, vertiefende Analysen und Interviews: Verfolgen Sie das Programm des ARD-Nachrichtenkanals tagesschau24 hier live.mehr",Kein Autor,https://www.tagesschau.de/multimedia/livestreams/
2025-05-06 19:35:00,Deutschland hat eine neue Regierung,inland,Stolperstart von Kanzler Merz,"Der Weg dorthin war holprig, doch nun hat Deutschland eine neue Regierung: Nach der Wahl von Friedrich Merz zum Kanzler im zweiten Anlauf sind er und sein Kabinett vom Bundespräsidenten ernannt und im Bundestag vereidigt worden.mehr",Kein Autor,https://www.tagesschau.de/inland/innenpolitik/merz-kanzler-kabinett-100.html
2025-05-06 19:20:00,Verfassungsschutzchefin Brandenburg entlassen,inland,Jörg Müller,"Der Leiter des Brandenburger Verfassungsschutzes, Müller, muss überraschend seinen Posten räumen. Das notwendige Vertrauen für eine gemeinsame weitere Zusammenarbeit sei nicht mehr gegeben, erklärte das Innenministerium.mehr",Kein Autor,https://www.tagesschau.de/inland/regional/brandenburg/brandenburg-verfassungsschutz-chef-entlassung-100.html
2025-05-06 18:37:00,So dramatisch verlief Merz' Kanzlerwahl,inland,Start mit Makel,"Dass eine angehende Koalition die Kanzlerwahl zunächst verpatzt, gab es noch nicht. Stunden der Unsicherheit und Schuldzuweisungen lagen zwischen dem ersten und zweiten Wahlgang im Bundestag.Von Corinna Emundts.mehr",Von Corinna Emundts.,https://www.tagesschau.de/inland/innenpolitik/kanzlerwahl-merz-union-spd-102.html
2025-05-06 18:17:00,Erleichterung über gelungene Merz-Wahl,wirtschaft,"""Endlich handlungsfähige Regierung""",Nach neun Gewinntagen hat die holprige Kanzlerwahl dem DAX heute ein Minus beschert. Zwar konnte der Leitindex seine Verluste nach dem zweiten Wahlgang eindämmen - für ein Plus reichte es aber nicht.mehr,Kein Autor,https://www.tagesschau.de/wirtschaft/finanzen/marktberichte/marktbericht-dax-dow-trump-102.html
2025-05-06 17:39:00,Merz im zweiten Anlauf zum Kanzler gewählt,inland,Abstimmung im Bundestag,Friedrich Merz ist im zweiten Anlauf zum Kanzler gewählt. Nach der Niederlage im ersten Wahlgang erhielt er die nötigen Stimmen. Anschließend bekam Merz von Bundespräsident Steinmeier die Ernennungsurkunde. Im Bundestag wurde er vereidigt.mehr,Kein Autor,https://www.tagesschau.de/inland/innenpolitik/merz-kanzler-wahl-100.html
2025-05-06 17:39:00,Israel bombardiert Flughafen von Sanaa,ausland,Wieder Angriffe auf Huthi,"Israels Luftwaffe hat wieder Huthi-Stellungen im Jemen attackiert. Ziel war der Flughafen in der Hauptstadt Sanaa. Dieser sei eine zentrale Drehscheibe der Miliz für den Waffentransport, erklärte Israel.mehr",Kein Autor,https://www.tagesschau.de/ausland/asien/israel-bombardiert-flughafen-jemen-100.html
2025-05-06 17:15:00,Indien und Großbritannien schließenHandelsabkommen,wirtschaft,Nach drei Jahren Verhandlungen,"Die Beratungen begannen noch unter Premier Johnson: Jetzt haben sich Großbritannien und Indien auf ein Freihandelsabkommen geeinigt. Zölle sollen drastisch sinken - etwa auf Whisky, Autos und Bekleidung.mehr",Kein Autor,https://www.tagesschau.de/wirtschaft/weltwirtschaft/indien-uk-freihandelsabkommen-100.html
2025-05-06 16:51:00,Ramponiert ins Amt,kommentar,Merz-Wahl zum Kanzler,"Merz ist Kanzler, aber er hat es erst im zweiten Anlauf geschafft. Zum ersten Mal scheitert ein Kandidat zum Bundeskanzler im ersten Wahlgang. Und startet damit ramponiert ins Amt. Eine schwere Bürde,meintGabor Halasz.mehr",",",https://www.tagesschau.de/kommentar/kanzlerwahl-merz-union-spd-100.html
2025-05-06 16:27:00,EU-Kommission will russische Gasimporte verbieten,wirtschaft,Bis Ende 2027,Anders als bei Einfuhren von Öl oder Kohle gibt es für russische Gasimporte in die EU noch keine Beschränkungen. Das will die EU-Kommission schnell ändern - und die Importe bis Ende 2027 sogar komplett verbieten.mehr,Kein Autor,https://www.tagesschau.de/wirtschaft/energie/eu-russisches-gas-100.html
2025-05-06 16:19:00,24-mal sofort ein Ja - bei Merz nicht,inland,Kanzlerwahlen seit 1949,Erstmals in der Geschichte der Bundesrepublik wurde bei der Kanzlerwahl die notwendige Mehrheit verfehlt. Sehr knapp war es aber auch früher schon einige Male. Ein Rückblick auf die Wahlgänge seit 1949.mehr,Kein Autor,https://www.tagesschau.de/inland/innenpolitik/wahlgaenge-kanzlerwahl-historisch-100.html
2025-05-06 16:06:00,Hamas lehnt weitere Gespräche ab,ausland,Israels Pläne zum Gazastreifen,"Keine weiteren Gespräche - das ist die Antwort der Terrororganisation Hamas auf Israels Pläne, den Gazastreifen zu erobern und zu besetzen. Israels rechtsextremer Minister Smotrich geht noch einen Schritt weiter.mehr",Kein Autor,https://www.tagesschau.de/ausland/israel-hamas-gespraeche-100.html
2025-05-06 15:58:00,Meineid-Verfahrengegen Woelki eingestellt,inland,Geldauflage verhängt,"Die Kölner Staatsanwaltschaft hat das Ermittlungsverfahren gegen den Kölner Erzbischof Woelki eingestellt. Allerdings müsse er 26.000 Euro an eine gemeinnützige Einrichtung zahlen, teilte die Behörde mit.mehr",Kein Autor,https://www.tagesschau.de/inland/regional/nordrheinwestfalen/woelki-verfahren-eingestellt-100.html
2025-05-06 15:05:00,Wenn Gräserpollen zur Belastung werden,wissen,Hochsaison für Allergiker,"Die Gräser blühen, die Pollen fliegen - für viele beginnt die Heuschnupfensaison. Welche Gräser bergen hohes Allergiepotenzial und was für Behandlungsmöglichkeiten gibt es?Von Nele Rößler.mehr",Von Nele Rößler.,https://www.tagesschau.de/wissen/gesundheit/heuschnupfen-allergien-klimawandel-pollen-100.html
2025-05-06 14:55:00,Merz will noch heute erneut antreten,inland,Nach gescheiterter Kanzlerwahl,"CDU-Chef Merz will sich noch heute erneut zur Wahl stellen, um Kanzler zu werden - darauf verständigten sich Union und SPD mit Grünen und Linken. Im ersten Wahlgang hatte Merz überraschend die nötige Mehrheit im Bundestag verfehlt.mehr",Kein Autor,https://www.tagesschau.de/inland/innenpolitik/kanzlerwahl-merz-zweiter-wahlgang-100.html
